"Suburb_Code","Suburb_Name","Total_15_24_yr"
"20804","Dunluce",3
"20805","Dunneworthy",3
"20806","Dunnstown",27
"20807","Dunolly (Vic.)",52
"20808","Dunrobin (Vic.)",11
"20809","Durdidwarrah",0
"20810","Durham Lead",45
"20811","Durham Ox",0
"20812","Dutson",0
"20813","Dutson Downs",0
"20814","Dutton Way",10
"20815","Duverney",0
"20816","Eagle Point",78
"20817","Eaglehawk",731
"20818","Eaglehawk North",3
"20819","Eaglemont",528
"20820","Earlston",7
"20821","East Bairnsdale",166
"20822","East Bendigo",275
"20823","East Geelong",461
"20824","East Melbourne",516
"20825","East Sale",64
"20826","East Wangaratta",15
"20827","East Warburton",101
"20828","Eastern View",0
"20829","Eastville",0
"20830","Eastwood (Vic.)",263
"20831","Ebden",21
"20832","Echuca",1612
"20833","Echuca Village",50
"20834","Echuca West",51
"20835","Ecklin South",26
"20836","Eddington",9
"20837","Eden Park",146
"20838","Edenhope",92
"20839","Edgecombe",7
"20840","Edi",3
"20841","Edi Upper",3
"20842","Edithvale",575
"20843","Eganstown",15
"20844","Eildon",64
"20845","Elaine",33
"20846","Eldorado",46
"20847","Elevated Plains",3
"20848","Elingamite",3
"20849","Elingamite North",8
"20850","Elizabeth Island",0
"20851","Ellaswood",14
"20852","Ellerslie (Vic.)",16
"20853","Elliminyt",346
"20854","Ellinbank",20
"20855","Elmhurst",7
"20856","Elmore",72
"20857","Elphinstone (Vic.)",51
"20858","Elsternwick",1045
"20859","Eltham (Vic.)",2282
"20860","Eltham North",1030
"20861","Elwood",1298
"20862","Emerald (Vic.)",698
"20863","Emu",0
"20864","Emu Creek (Vic.)",41
"20865","Endeavour Hills",3312
"20866","Enfield (Vic.)",60
"20867","Englefield",0
"20868","Enochs Point",0
"20869","Ensay",3
"20870","Ensay North",4
"20871","Eppalock",70
"20872","Epping (Vic.)",4099
"20873","Epsom (Vic.)",531
"20874","Ercildoune",3
"20875","Erica",17
"20876","Errinundra",0
"20877","Eskdale (Vic.)",11
"20878","Esmond",0
"20879","Essendon",2734
"20880","Essendon Fields",0
"20881","Essendon North",365
"20882","Essendon West",202
"20883","Eumemmerring",241
"20884","Eurack",12
"20885","Eureka (Vic.)",92
"20886","Euroa",262
"20887","Eurobin",21
"20888","Evansford",10
"20889","Eversley",0
"20890","Everton",12
"20891","Everton Upper",10
"20892","Exford",13
"20893","Eynesbury",176
"20894","Fairbank",0
"20895","Fairfield (Vic.)",835
"20896","Fairhaven",32
"20897","Fairley",4
"20898","Fairy Dell (Campaspe - Vic.)",13
"20899","Fairy Dell (East Gippsland - Vic.)",0
"20900","Falls Creek (Vic.)",572
"20901","Faraday",4
"20902","Fawcett",7
"20903","Fawkner",1667
"20904","Fentons Creek",7
"20905","Ferguson (Vic.)",0
"20906","Fern Hill",5
"20907","Fernbank",23
"20908","Ferndale (Vic.)",3
"20909","Fernihurst",0
"20910","Fernshaw",0
"20911","Ferntree Gully",3136
"20912","Ferny Creek",175
"20913","Fiery Flat",4
"20914","Fingal (Vic.)",43
"20915","Fish Creek",68
"20916","Fish Point",0
"20917","Fiskville",0
"20918","Fitzroy (Vic.)",1195
"20919","Fitzroy North",1245
"20920","Flaggy Creek",9
"20921","Flagstaff",10
"20922","Flamingo Beach",0
"20923","Flemington",1091
"20924","Flinders (Vic.)",59
"20925","Flora Hill",1285
"20926","Flowerdale (Vic.)",54
"20927","Flynn (Vic.)",20
"20928","Flynns Creek",0
"20929","Footscray",2586
"20930","Forbes (Vic.)",15
"20931","Forest Hill (Vic.)",1202
"20932","Forge Creek",24
"20933","Forrest (Vic.)",21
"20934","Foster",143
"20935","Foster North",17
"20936","Fosterville",7
"20937","Foxhow",0
"20938","Framlingham",24
"20939","Framlingham East",5
"20940","Franklinford",5
"20941","Frankston",4408
"20942","Frankston North",704
"20943","Frankston South",2164
"20944","Freeburgh",10
"20945","French Island",0
"20946","Frenchmans",0
"20947","Freshwater Creek",49
"20948","Fryerstown",18
"20949","Fulham (Vic.)",114
"20950","Fumina",3
"20951","Fumina South",8
"20952","Fyans Creek",0
"20953","Fyansford",12
"20954","Gaffneys Creek",0
"20955","Gainsborough",3
"20956","Gannawarra",16
"20957","Gapsted",26
"20958","Gardenvale",93
"20959","Garfield (Vic.)",214
"20960","Garfield North",24
"20961","Garibaldi",12
"20962","Garvoc",28
"20963","Gateway Island",3
"20964","Gatum",0
"20965","Gazette",3
"20966","Geelong",838
"20967","Geelong West",837
"20968","Gelantipy",0
"20969","Gellibrand",26
"20970","Gellibrand Lower",0
"20971","Gelliondale",3
"20972","Gembrook",313
"20973","Genoa",3
"20974","Gentle Annie",0
"20975","Georges Creek (Vic.)",3
"20976","Gerahmin",3
"20977","Gerang Gerung",13
"20978","Gerangamete",3
"20979","Germania",3
"20980","Germantown (Vic.)",0
"20981","Gerrigerrup",3
"20982","Gherang",40
"20983","Gheringhap",22
"20984","Ghin Ghin",0
"20985","Giffard",4
"20986","Giffard West",8
"20987","Gil Gil",0
"20988","Gilderoy",7
"20989","Gillieston",10
"20990","Gillum",0
"20991","Gipsy Point",0
"20992","Girgarre",67
"20993","Girgarre East",19
"20994","Gisborne",1023
"20995","Gisborne South",109
"20996","Gladfield (Vic.)",6
"20997","Gladstone Park",971
"20998","Gladysdale",55
"20999","Glen Alvie",14
"21000","Glen Creek",3
"21001","Glen Forbes",12
"21002","Glen Huntly",690
"21003","Glen Iris (Vic.)",3388
"21004","Glen Park",15
"21005","Glen Valley",7
"21006","Glen Waverley",6151
"21007","Glen Wills",0
"21008","Glenaire",0
"21009","Glenaladale",0
"21010","Glenalbyn",3
"21011","Glenaroua",23
"21012","Glenbrae",3
"21013","Glenburn",13
"21014","Glendaruel",0
"21015","Glendonald",0
"21016","Glenfalloch",0
"21017","Glenfyne",14
"21018","Glengarry (Vic.)",138
"21019","Glengarry North",15
"21020","Glengarry West",8
"21021","Glengower",0
"21022","Glenhope",0
"21023","Glenhope East",4
"21024","Glenisla",0
"21025","Glenlee (Vic.)",15
"21026","Glenlofty",0
"21027","Glenlogie",4
"21028","Glenloth",3
"21029","Glenloth East",0
"21030","Glenluce",6
"21031","Glenlyon (Vic.)",24
"21032","Glenmaggie",22
"21033","Glenmore (Vic.)",12
"21034","Glenorchy (Vic.)",8
"21035","Glenormiston North",4
"21036","Glenormiston South",15
"21037","Glenpatrick",3
"21038","Glenrowan",100
