"Suburb_Code","Suburb_Name","Tot_15_24_FtPt"
"20889","Eversley",0
"20890","Everton",0
"20891","Everton Upper",0
"20892","Exford",3
"20893","Eynesbury",28
"20894","Fairbank",0
"20895","Fairfield (Vic.)",322
"20896","Fairhaven",11
"20897","Fairley",0
"20898","Fairy Dell (Campaspe - Vic.)",0
"20899","Fairy Dell (East Gippsland - Vic.)",0
"20900","Falls Creek (Vic.)",0
"20901","Faraday",0
"20902","Fawcett",0
"20903","Fawkner",413
"20904","Fentons Creek",0
"20905","Ferguson (Vic.)",0
"20906","Fern Hill",5
"20907","Fernbank",0
"20908","Ferndale (Vic.)",0
"20909","Fernihurst",0
"20910","Fernshaw",0
"20911","Ferntree Gully",541
"20912","Ferny Creek",43
"20913","Fiery Flat",0
"20914","Fingal (Vic.)",3
"20915","Fish Creek",6
"20916","Fish Point",0
"20917","Fiskville",0
"20918","Fitzroy (Vic.)",396
"20919","Fitzroy North",465
"20920","Flaggy Creek",0
"20921","Flagstaff",0
"20922","Flamingo Beach",0
"20923","Flemington",354
"20924","Flinders (Vic.)",12
"20925","Flora Hill",558
"20926","Flowerdale (Vic.)",0
"20927","Flynn (Vic.)",0
"20928","Flynns Creek",0
"20929","Footscray",1170
"20930","Forbes (Vic.)",0
"20931","Forest Hill (Vic.)",379
"20932","Forge Creek",0
"20933","Forrest (Vic.)",3
"20934","Foster",13
"20935","Foster North",0
"20936","Fosterville",0
"20937","Foxhow",0
"20938","Framlingham",0
"20939","Framlingham East",0
"20940","Franklinford",0
"20941","Frankston",679
"20942","Frankston North",46
"20943","Frankston South",446
"20944","Freeburgh",0
"20945","French Island",0
"20946","Frenchmans",0
"20947","Freshwater Creek",15
"20948","Fryerstown",0
"20949","Fulham (Vic.)",3
"20950","Fumina",0
"20951","Fumina South",0
"20952","Fyans Creek",0
"20953","Fyansford",0
"20954","Gaffneys Creek",0
"20955","Gainsborough",0
"20956","Gannawarra",0
"20957","Gapsted",0
"20958","Gardenvale",28
"20959","Garfield (Vic.)",27
"20960","Garfield North",4
"20961","Garibaldi",0
"20962","Garvoc",0
"20963","Gateway Island",0
"20964","Gatum",0
"20965","Gazette",0
"20966","Geelong",295
"20967","Geelong West",253
"20968","Gelantipy",0
"20969","Gellibrand",0
"20970","Gellibrand Lower",0
"20971","Gelliondale",0
"20972","Gembrook",46
"20973","Genoa",0
"20974","Gentle Annie",0
"20975","Georges Creek (Vic.)",0
"20976","Gerahmin",0
"20977","Gerang Gerung",0
"20978","Gerangamete",0
"20979","Germania",0
"20980","Germantown (Vic.)",0
"20981","Gerrigerrup",0
"20982","Gherang",8
"20983","Gheringhap",3
"20984","Ghin Ghin",0
"20985","Giffard",0
"20986","Giffard West",0
"20987","Gil Gil",0
"20988","Gilderoy",0
"20989","Gillieston",0
"20990","Gillum",0
"20991","Gipsy Point",0
"20992","Girgarre",5
"20993","Girgarre East",0
"20994","Gisborne",190
"20995","Gisborne South",21
"20996","Gladfield (Vic.)",0
"20997","Gladstone Park",220
"20998","Gladysdale",0
"20999","Glen Alvie",0
"21000","Glen Creek",0
"21001","Glen Forbes",0
"21002","Glen Huntly",376
"21003","Glen Iris (Vic.)",1344
"21004","Glen Park",0
"21005","Glen Valley",0
"21006","Glen Waverley",2452
"21007","Glen Wills",0
"21008","Glenaire",0
"21009","Glenaladale",0
"21010","Glenalbyn",0
"21011","Glenaroua",0
"21012","Glenbrae",0
"21013","Glenburn",0
"21014","Glendaruel",0
"21015","Glendonald",0
"21016","Glenfalloch",0
"21017","Glenfyne",0
"21018","Glengarry (Vic.)",12
"21019","Glengarry North",3
"21020","Glengarry West",0
"21021","Glengower",0
"21022","Glenhope",0
"21023","Glenhope East",0
"21024","Glenisla",0
"21025","Glenlee (Vic.)",0
"21026","Glenlofty",0
"21027","Glenlogie",0
"21028","Glenloth",0
"21029","Glenloth East",0
"21030","Glenluce",0
"21031","Glenlyon (Vic.)",0
"21032","Glenmaggie",4
"21033","Glenmore (Vic.)",0
"21034","Glenorchy (Vic.)",0
"21035","Glenormiston North",0
"21036","Glenormiston South",5
"21037","Glenpatrick",0
"21038","Glenrowan",3
"21039","Glenrowan West",0
"21040","Glenroy (Vic.)",731
"21041","Glenthompson",0
"21042","Glomar Beach",0
